NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	18.5203
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.6695
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.7101
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.2796
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	17.9780
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.6040
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.6560
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.2799
	
	
	
PGIM India Banking and PSU Debt fund - Bonus	13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend	10.3516
PGIM India Banking and PSU Debt fund - Monthly Dividend	10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus	11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend	10.586
PGIM India Banking and PSU Debt Fund - Regular Dividend	10.3341
PGIM India Banking and PSU Debt fund - Weekly Dividend	10.2735
PGIM India Banking and PSU Debt fund -Growth	21.1449
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus	13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus	15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend	11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend	10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend	10.6517
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend	10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth	22.163
	
	
	
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1255.5665
SBI BANKING & PSU FUND - Direct Plan - Growth	2850.4971
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1218.2150
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1252.7764
SBI BANKING & PSU FUND - Regular Paln - Growth	2705.1569
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1234.1683
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1157.9204
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1233.9076
	
	
	
Sundaram Banking & PSU Debt Fund - Direct Growth	11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth	11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend	11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus	18.8347
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2299
Sundaram Banking and PSU Debt Fund Direct Plan - Growth	37.6492
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5379
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus	18.7689
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3548
Sundaram Banking and PSU Debt Fund Regular Plan - Growth	37.2198
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5897
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1003
Sundaram Banking and PSU Debt Fund Retail Plan - Growth	33.5429
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4944
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment	11.6582
	
	
	
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option 	12.7099
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.7099
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 	12.4667
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.4667
Tata Banking & PSU Debt Fund-Direct Plan-Growth	12.7099
Tata Banking & PSU Debt Fund-Regular Plan-Growth	12.4667
	
	
	
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH	1120.1478
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH	1106.0359
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1048.9184
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1123.4692
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1041.5732
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1053.9173
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1032.198
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1035.1373
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1108.581
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1033.2144
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1041.2092
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1026.5431
	
	
	
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW	12.2793
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW	16.5934
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option	19.256
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW	12.7778
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	12.6493
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW	14.3319
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW	12.1274
